  ,// User name
21-5-2013,// Evaluation date
04Wprocessed,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
36.117,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q0 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q1 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q2 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q3 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,
0,0.998628,-0.019763,-0.044478,-0.019331,0.999290,0.013977,-0.027342,-0.021846,0.994714,0.043024,0.088555,-0.029170,0.959600,0.010242,-0.281101,-0.006747,0.998003,0.008360,0.057797,0.024083,0.998891,-0.024684,0.039719,-0.005409,0.999913,0.009531,0.006602,-0.006324,0.995985,-0.035778,0.079401,-0.020740,0.970282,0.040462,-0.234322,0.044814,0.998326,-0.008955,0.056770,0.006539,0.999282,0.029337,0.023606,0.004199,0.999019,-0.010074,0.041727,-0.010879,
1,0.998628,-0.019766,-0.044479,-0.019331,0.999289,0.013968,-0.027366,-0.021859,0.994710,0.043022,0.088567,-0.029261,0.959602,0.010248,-0.281096,-0.006621,0.998002,0.008367,0.057813,0.024063,0.998891,-0.024688,0.039727,-0.005387,0.999913,0.009520,0.006593,-0.006316,0.995985,-0.035771,0.079395,-0.020748,0.970286,0.040445,-0.234308,0.044829,0.998325,-0.008934,0.056786,0.006553,0.999282,0.029319,0.023622,0.004193,0.999019,-0.010106,0.041715,-0.010890,
2,0.998627,-0.019771,-0.044483,-0.019332,0.999287,0.013953,-0.027414,-0.021879,0.994704,0.043020,0.088588,-0.029428,0.959604,0.010262,-0.281093,-0.006401,0.998001,0.008380,0.057846,0.024029,0.998890,-0.024693,0.039744,-0.005345,0.999913,0.009515,0.006569,-0.006303,0.995986,-0.035762,0.079381,-0.020758,0.970290,0.040405,-0.234289,0.044880,0.998323,-0.008900,0.056822,0.006576,0.999282,0.029288,0.023652,0.004178,0.999020,-0.010149,0.041690,-0.010893,
3,0.998626,-0.019787,-0.044496,-0.019332,0.999283,0.013912,-0.027561,-0.021936,0.994684,0.043013,0.088648,-0.029913,0.959609,0.010308,-0.281089,-0.005773,0.997997,0.008416,0.057948,0.023933,0.998889,-0.024708,0.039794,-0.005216,0.999914,0.009512,0.006497,-0.006267,0.995990,-0.035738,0.079341,-0.020788,0.970298,0.040281,-0.234242,0.045055,0.998317,-0.008802,0.056935,0.006642,0.999283,0.029197,0.023737,0.004125,0.999022,-0.010264,0.041610,-0.010884,
4,0.998625,-0.019813,-0.044521,-0.019330,0.999274,0.013846,-0.027813,-0.022031,0.994651,0.043003,0.088746,-0.030723,0.959611,0.010402,-0.281098,-0.004755,0.997990,0.008475,0.058126,0.023780,0.998886,-0.024730,0.039881,-0.004993,0.999915,0.009529,0.006366,-0.006216,0.995995,-0.035708,0.079270,-0.020848,0.970306,0.040068,-0.234177,0.045406,0.998306,-0.008642,0.057136,0.006746,0.999285,0.029046,0.023875,0.004025,0.999027,-0.010432,0.041463,-0.010833,
5,0.998623,-0.019844,-0.044558,-0.019321,0.999264,0.013774,-0.028120,-0.022137,0.994612,0.042991,0.088857,-0.031682,0.959601,0.010548,-0.281142,-0.003624,0.997981,0.008542,0.058345,0.023617,0.998882,-0.024750,0.039990,-0.004713,0.999916,0.009587,0.006197,-0.006180,0.996001,-0.035693,0.079177,-0.020950,0.970304,0.039808,-0.234125,0.045944,0.998292,-0.008466,0.057398,0.006849,0.999287,0.028873,0.024031,0.003882,0.999035,-0.010582,0.041259,-0.010700,
6,0.998621,-0.019869,-0.044599,-0.019304,0.999255,0.013720,-0.028412,-0.022220,0.994574,0.042980,0.088955,-0.032580,0.959573,0.010744,-0.281240,-0.002688,0.997970,0.008599,0.058558,0.023497,0.998879,-0.024759,0.040097,-0.004436,0.999916,0.009691,0.006022,-0.006188,0.996005,-0.035713,0.079070,-0.021113,0.970284,0.039566,-0.234109,0.046650,0.998277,-0.008326,0.057672,0.006905,0.999289,0.028721,0.024159,0.003717,0.999047,-0.010645,0.041024,-0.010462,
7,0.998619,-0.019883,-0.044641,-0.019279,0.999248,0.013699,-0.028636,-0.022257,0.994545,0.042969,0.089028,-0.033288,0.959528,0.010973,-0.281392,-0.002107,0.997961,0.008636,0.058726,0.023449,0.998877,-0.024754,0.040183,-0.004213,0.999915,0.009825,0.005870,-0.006252,0.996007,-0.035780,0.078958,-0.021365,0.970247,0.039395,-0.234124,0.047479,0.998264,-0.008254,0.057915,0.006881,0.999290,0.028619,0.024230,0.003562,0.999060,-0.010604,0.040790,-0.010143,
8,0.998618,-0.019887,-0.044681,-0.019247,0.999245,0.013715,-0.028770,-0.022239,0.994524,0.042960,0.089080,-0.033775,0.959471,0.011206,-0.281577,-0.001880,0.997954,0.008648,0.058835,0.023466,0.998876,-0.024742,0.040233,-0.004070,0.999914,0.009959,0.005760,-0.006358,0.996004,-0.035885,0.078840,-0.021719,0.970202,0.039321,-0.234142,0.048370,0.998254,-0.008253,0.058099,0.006771,0.999292,0.028572,0.024240,0.003446,0.999073,-0.010483,0.040587,-0.009796,
9,0.998617,-0.019885,-0.044715,-0.019215,0.999244,0.013758,-0.028824,-0.022176,0.994512,0.042958,0.089116,-0.034054,0.959414,0.011405,-0.281765,-0.001912,0.997950,0.008644,0.058890,0.023516,0.998876,-0.024730,0.040244,-0.004001,0.999912,0.010072,0.005695,-0.006482,0.996000,-0.036012,0.078721,-0.022161,0.970159,0.039340,-0.234133,0.049247,0.998248,-0.008303,0.058220,0.006592,0.999293,0.028567,0.024202,0.003389,0.999084,-0.010334,0.040438,-0.009484,
10,0.998616,-0.019884,-0.044745,-0.019186,0.999245,0.013812,-0.028824,-0.022088,0.994506,0.042970,0.089141,-0.034150,0.959365,0.011541,-0.281924,-0.002103,0.997948,0.008633,0.058911,0.023558,0.998877,-0.024723,0.040216,-0.003971,0.999911,0.010154,0.005669,-0.006600,0.995993,-0.036138,0.078604,-0.022647,0.970127,0.039429,-0.234084,0.050038,0.998244,-0.008373,0.058286,0.006379,0.999294,0.028587,0.024135,0.003391,0.999091,-0.010204,0.040351,-0.009248,
11,0.998615,-0.019891,-0.044770,-0.019162,0.999247,0.013858,-0.028795,-0.022000,0.994505,0.043000,0.089152,-0.034088,0.959332,0.011604,-0.282032,-0.002379,0.997948,0.008628,0.058914,0.023561,0.998880,-0.024722,0.040159,-0.003940,0.999909,0.010206,0.005671,-0.006697,0.995987,-0.036247,0.078500,-0.023120,0.970107,0.039556,-0.234007,0.050685,0.998243,-0.008436,0.058317,0.006168,0.999295,0.028617,0.024056,0.003433,0.999094,-0.010122,0.040320,-0.009095,
12,0.998615,-0.019908,-0.044789,-0.019142,0.999250,0.013886,-0.028753,-0.021926,0.994509,0.043044,0.089151,-0.033915,0.959316,0.011608,-0.282082,-0.002682,0.997949,0.008634,0.058908,0.023523,0.998883,-0.024722,0.040083,-0.003887,0.999909,0.010230,0.005688,-0.006770,0.995981,-0.036329,0.078416,-0.023524,0.970095,0.039690,-0.233930,0.051162,0.998244,-0.008474,0.058324,0.005986,0.999296,0.028646,0.023977,0.003494,0.999095,-0.010095,0.040330,-0.009013,
13,0.998614,-0.019934,-0.044800,-0.019127,0.999252,0.013893,-0.028704,-0.021870,0.994515,0.043096,0.089143,-0.033708,0.959316,0.011590,-0.282083,-0.002949,0.997951,0.008651,0.058892,0.023465,0.998887,-0.024717,0.040000,-0.003819,0.999908,0.010230,0.005711,-0.006825,0.995976,-0.036383,0.078353,-0.023833,0.970086,0.039805,-0.233878,0.051480,0.998245,-0.008484,0.058317,0.005847,0.999297,0.028670,0.023903,0.003555,0.999094,-0.010114,0.040362,-0.008982,
14,0.998613,-0.019964,-0.044801,-0.019114,0.999255,0.013882,-0.028648,-0.021832,0.994518,0.043143,0.089141,-0.033566,0.959324,0.011589,-0.282051,-0.003114,0.997953,0.008677,0.058866,0.023427,0.998890,-0.024703,0.039919,-0.003765,0.999908,0.010213,0.005735,-0.006868,0.995974,-0.036412,0.078310,-0.024051,0.970075,0.039888,-0.233866,0.051680,0.998247,-0.008470,0.058301,0.005749,0.999298,0.028688,0.023830,0.003613,0.999092,-0.010162,0.040401,-0.008982,
15,0.998613,-0.019994,-0.044793,-0.019106,0.999257,0.013857,-0.028588,-0.021816,0.994514,0.043176,0.089161,-0.033574,0.959336,0.011632,-0.282009,-0.003121,0.997954,0.008715,0.058834,0.023456,0.998894,-0.024682,0.039845,-0.003763,0.999908,0.010188,0.005759,-0.006903,0.995972,-0.036421,0.078278,-0.024200,0.970060,0.039934,-0.233890,0.051810,0.998248,-0.008438,0.058285,0.005683,0.999299,0.028701,0.023755,0.003670,0.999089,-0.010221,0.040437,-0.008998,
16,0.998614,-0.020018,-0.044774,-0.019102,0.999259,0.013819,-0.028528,-0.021823,0.994503,0.043190,0.089211,-0.033774,0.959345,0.011727,-0.281976,-0.002945,0.997952,0.008767,0.058803,0.023584,0.998897,-0.024658,0.039779,-0.003841,0.999908,0.010167,0.005780,-0.006937,0.995972,-0.036417,0.078251,-0.024307,0.970043,0.039947,-0.233938,0.051910,0.998249,-0.008394,0.058278,0.005634,0.999300,0.028710,0.023671,0.003738,0.999087,-0.010274,0.040468,-0.009017,
17,0.998615,-0.020033,-0.044743,-0.019103,0.999261,0.013775,-0.028469,-0.021847,0.994483,0.043181,0.089293,-0.034151,0.959349,0.011861,-0.281962,-0.002606,0.997948,0.008831,0.058777,0.023812,0.998899,-0.024632,0.039719,-0.004001,0.999907,0.010160,0.005799,-0.006973,0.995972,-0.036405,0.078223,-0.024393,0.970024,0.039935,-0.233994,0.052009,0.998250,-0.008347,0.058282,0.005579,0.999302,0.028716,0.023577,0.003822,0.999086,-0.010314,0.040490,-0.009029,
18,0.998617,-0.020036,-0.044699,-0.019106,0.999263,0.013733,-0.028409,-0.021872,0.994458,0.043153,0.089398,-0.034637,0.959345,0.012006,-0.281971,-0.002166,0.997942,0.008898,0.058753,0.024105,0.998901,-0.024604,0.039667,-0.004218,0.999907,0.010165,0.005816,-0.007018,0.995973,-0.036388,0.078195,-0.024472,0.970007,0.039909,-0.234047,0.052118,0.998250,-0.008303,0.058295,0.005496,0.999304,0.028721,0.023475,0.003928,0.999085,-0.010335,0.040507,-0.009030,
19,0.998620,-0.020028,-0.044640,-0.019108,0.999265,0.013696,-0.028346,-0.021885,0.994433,0.043111,0.089504,-0.035112,0.959337,0.012130,-0.281999,-0.001736,0.997935,0.008961,0.058728,0.024414,0.998903,-0.024570,0.039623,-0.004449,0.999906,0.010175,0.005833,-0.007075,0.995974,-0.036370,0.078168,-0.024553,0.969990,0.039880,-0.234092,0.052241,0.998250,-0.008267,0.058313,0.005371,0.999306,0.028723,0.023371,0.004055,0.999085,-0.010336,0.040517,-0.009019,
20,0.998623,-0.020011,-0.044566,-0.019109,0.999267,0.013663,-0.028287,-0.021883,0.994416,0.043065,0.089589,-0.035436,0.959326,0.012202,-0.282034,-0.001452,0.997929,0.009017,0.058704,0.024691,0.998904,-0.024529,0.039591,-0.004655,0.999906,0.010179,0.005849,-0.007140,0.995974,-0.036349,0.078148,-0.024638,0.969977,0.039856,-0.234125,0.052364,0.998249,-0.008235,0.058336,0.005209,0.999308,0.028724,0.023272,0.004200,0.999085,-0.010321,0.040524,-0.008999,
21,0.998628,-0.019990,-0.044477,-0.019111,0.999269,0.013630,-0.028243,-0.021876,0.994413,0.043023,0.089629,-0.035476,0.959317,0.012198,-0.282064,-0.001452,0.997924,0.009069,0.058687,0.024914,0.998905,-0.024485,0.039571,-0.004817,0.999905,0.010171,0.005862,-0.007198,0.995974,-0.036320,0.078140,-0.024719,0.969968,0.039840,-0.234142,0.052459,0.998249,-0.008201,0.058369,0.005032,0.999309,0.028726,0.023187,0.004352,0.999085,-0.010297,0.040525,-0.008972,
22,0.998632,-0.019970,-0.044376,-0.019117,0.999270,0.013592,-0.028219,-0.021876,0.994427,0.042997,0.089609,-0.035153,0.959314,0.012110,-0.282076,-0.001823,0.997920,0.009123,0.058685,0.025087,0.998906,-0.024445,0.039558,-0.004949,0.999905,0.010151,0.005869,-0.007232,0.995973,-0.036274,0.078151,-0.024778,0.969968,0.039828,-0.234139,0.052494,0.998247,-0.008163,0.058413,0.004867,0.999310,0.028730,0.023121,0.004500,0.999086,-0.010273,0.040521,-0.008944,
