"Frame #","Thorax / Sensor #1 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time","Thorax / Sensor #1 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time","Thorax / Sensor #1 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time","Thorax / Sensor #1 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time","Left Upper Arm / Sensor #9 / Left Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q0 / Time","Left Upper Arm / Sensor #9 / Left Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q1 / Time","Left Upper Arm / Sensor #9 / Left Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q2 / Time","Left Upper Arm / Sensor #9 / Left Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q3 / Time","Left Forearm / Sensor #11 / Left Elbow / Left Upper Arm - #9 - Center of Mass Ref. Frame / Quaternion / Q0 / Time","Left Forearm / Sensor #11 / Left Elbow / Left Upper Arm - #9 - Center of Mass Ref. Frame / Quaternion / Q1 / Time","Left Forearm / Sensor #11 / Left Elbow / Left Upper Arm - #9 - Center of Mass Ref. Frame / Quaternion / Q2 / Time","Left Forearm / Sensor #11 / Left Elbow / Left Upper Arm - #9 - Center of Mass Ref. Frame / Quaternion / Q3 / Time","Right Upper Arm / Sensor #10 / Right Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q0 / Time","Right Upper Arm / Sensor #10 / Right Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q1 / Time","Right Upper Arm / Sensor #10 / Right Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q2 / Time","Right Upper Arm / Sensor #10 / Right Shoulder / Thorax - #1 - Center of Mass Ref. Frame / Quaternion / Q3 / Time","Right Forearm / Sensor #12 / Right Elbow / Right Upper Arm - #10 - Center of Mass Ref. Frame / Quaternion / Q0 / Time","Right Forearm / Sensor #12 / Right Elbow / Right Upper Arm - #10 - Center of Mass Ref. Frame / Quaternion / Q1 / Time","Right Forearm / Sensor #12 / Right Elbow / Right Upper Arm - #10 - Center of Mass Ref. Frame / Quaternion / Q2 / Time","Right Forearm / Sensor #12 / Right Elbow / Right Upper Arm - #10 - Center of Mass Ref. Frame / Quaternion / Q3 / Time"
15,0.998443,0.021864,-0.015909,-0.048789,0.98556,0.11856,0.11121,-0.047413,0.977301,-0.107476,-0.159066,0.089607,0.990298,-0.0811,0.084748,-0.0745,0.984505,0.103421,-0.128238,0.060071
16,0.998457,0.021859,-0.015838,-0.048524,0.985509,0.118228,0.111,-0.049726,0.977177,-0.106695,-0.159493,0.091127,0.990232,-0.081076,0.084186,-0.076031,0.984312,0.103397,-0.12851,0.06264
17,0.998478,0.021856,-0.015593,-0.048175,0.985446,0.117892,0.110761,-0.052248,0.976971,-0.106023,-0.160051,0.093121,0.990272,-0.080941,0.083825,-0.076046,0.984171,0.103206,-0.129223,0.063704
18,0.998505,0.021852,-0.015229,-0.047742,0.985374,0.117579,0.110524,-0.054754,0.976714,-0.105464,-0.16071,0.095289,0.990425,-0.080692,0.083732,-0.074403,0.984123,0.102897,-0.13028,0.062785
19,0.998535,0.021849,-0.014821,-0.047235,0.985298,0.1173,0.110327,-0.057064,0.976454,-0.104961,-0.16145,0.097235,0.990664,-0.080356,0.083908,-0.07133,0.984188,0.10258,-0.131471,0.059718
20,0.998566,0.021852,-0.014449,-0.046679,0.985226,0.117055,0.110204,-0.059024,0.976247,-0.10443,-0.162235,0.098565,0.99094,-0.079984,0.084292,-0.067344,0.984357,0.102393,-0.132537,0.054687
21,0.998596,0.021869,-0.014185,-0.046105,0.985165,0.116836,0.110178,-0.0605,0.97614,-0.103814,-0.16301,0.099005,0.991207,-0.079629,0.084785,-0.063089,0.984594,0.102447,-0.133248,0.048208
22,0.998623,0.021904,-0.014078,-0.045547,0.985124,0.116636,0.110255,-0.0614,0.976147,-0.103121,-0.163694,0.098529,0.991429,-0.079334,0.085283,-0.059176,0.984852,0.102777,-0.133479,0.041072
23,0.998644,0.021956,-0.014156,-0.045035,0.985108,0.116451,0.110427,-0.0617,0.976248,-0.102447,-0.164184,0.097406,0.991591,-0.079119,0.085698,-0.056064,0.98509,0.10332,-0.133236,0.034207
24,0.998659,0.022014,-0.014417,-0.044586,0.985116,0.116281,0.110673,-0.061452,0.976395,-0.101946,-0.164367,0.096141,0.991694,-0.078975,0.085975,-0.053989,0.98529,0.103943,-0.132626,0.028453
25,0.998668,0.022062,-0.014847,-0.044206,0.985142,0.116133,0.110968,-0.060778,0.976537,-0.101755,-0.164144,0.09528,0.991746,-0.078876,0.086101,-0.052964,0.985452,0.104505,-0.1318,0.024328
26,0.998673,0.022089,-0.015419,-0.043892,0.985178,0.116007,0.11129,-0.059839,0.976645,-0.101899,-0.163464,0.095184,0.991759,-0.07879,0.086101,-0.05284,0.985585,0.10492,-0.130894,0.02194
27,0.998673,0.022089,-0.016101,-0.043636,0.985215,0.115902,0.111624,-0.058808,0.976727,-0.102254,-0.16235,0.095875,0.991744,-0.078698,0.086017,-0.053406,0.985695,0.105172,-0.130002,0.021061
28,0.998671,0.022065,-0.016861,-0.043427,0.985243,0.115809,0.111969,-0.057857,0.976811,-0.102588,-0.160904,0.097089,0.991705,-0.078593,0.085894,-0.05447,0.985784,0.105306,-0.129176,0.021313
29,0.998665,0.022026,-0.017657,-0.043253,0.985255,0.115716,0.112327,-0.057148,0.97693,-0.102678,-0.159273,0.098473,0.991644,-0.078484,0.085765,-0.055911,0.985847,0.105396,-0.128441,0.022342
