  ,// User name
24-5-2013,// Evaluation date
06Lprocessed.act,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
66.133,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.147518,0.417130,1.388932,-0.136703,0.453350,1.152299,-0.013236,0.399100,0.926537,-0.139251,0.285999,0.915222,-0.141032,0.328279,0.523285,-0.192266,0.324659,0.090924,-0.181972,-0.003291,1.409368,-0.188344,-0.132938,1.184494,-0.079132,-0.342040,1.076691,-0.138801,0.123897,0.918437,-0.127023,0.086444,0.510527,-0.179990,0.075495,0.088700,
1,-0.147508,0.417142,1.388930,-0.136691,0.453364,1.152297,-0.013219,0.399124,0.926534,-0.139249,0.286010,0.915223,-0.141034,0.328285,0.523285,-0.192269,0.324660,0.090924,-0.182002,-0.003289,1.409445,-0.188333,-0.133135,1.184685,-0.079176,-0.342432,1.077187,-0.138813,0.123910,0.918433,-0.127034,0.086451,0.510523,-0.179989,0.075493,0.088697,
2,-0.147475,0.417174,1.388923,-0.136653,0.453399,1.152291,-0.013170,0.399179,0.926530,-0.139240,0.286039,0.915225,-0.141041,0.328302,0.523286,-0.192277,0.324664,0.090925,-0.182110,-0.003264,1.409683,-0.188292,-0.133701,1.185262,-0.079282,-0.343532,1.078737,-0.138843,0.123946,0.918419,-0.127066,0.086467,0.510511,-0.179987,0.075492,0.088690,
3,-0.147368,0.417278,1.388901,-0.136525,0.453510,1.152271,-0.013008,0.399358,0.926517,-0.139208,0.286132,0.915232,-0.141061,0.328359,0.523290,-0.192307,0.324680,0.090927,-0.182481,-0.003173,1.410481,-0.188153,-0.135585,1.187206,-0.079619,-0.347155,1.083974,-0.138940,0.124063,0.918374,-0.127172,0.086518,0.510472,-0.179977,0.075488,0.088669,
4,-0.147160,0.417475,1.388858,-0.136278,0.453715,1.152231,-0.012697,0.399685,0.926495,-0.139145,0.286307,0.915246,-0.141099,0.328467,0.523296,-0.192364,0.324709,0.090931,-0.183199,-0.002992,1.412011,-0.187896,-0.139191,1.191003,-0.080250,-0.353986,1.094189,-0.139118,0.124282,0.918289,-0.127371,0.086612,0.510398,-0.179959,0.075482,0.088628,
5,-0.146860,0.417750,1.388799,-0.135916,0.453990,1.152175,-0.012251,0.400123,0.926467,-0.139052,0.286550,0.915264,-0.141154,0.328620,0.523306,-0.192441,0.324750,0.090937,-0.184237,-0.002721,1.414206,-0.187557,-0.144355,1.196615,-0.081130,-0.363536,1.109240,-0.139363,0.124589,0.918170,-0.127648,0.086739,0.510294,-0.179931,0.075480,0.088572,
6,-0.146495,0.418072,1.388732,-0.135473,0.454292,1.152109,-0.011716,0.400599,0.926441,-0.138940,0.286831,0.915288,-0.141217,0.328801,0.523319,-0.192525,0.324796,0.090945,-0.185501,-0.002376,1.416852,-0.187199,-0.150564,1.203652,-0.082146,-0.374628,1.128043,-0.139640,0.124945,0.918032,-0.127965,0.086878,0.510175,-0.179896,0.075483,0.088509,
7,-0.146098,0.418404,1.388669,-0.134988,0.454580,1.152043,-0.011142,0.401037,0.926427,-0.138819,0.287119,0.915314,-0.141279,0.328987,0.523336,-0.192601,0.324839,0.090955,-0.186886,-0.001971,1.419717,-0.186876,-0.157237,1.211608,-0.083173,-0.386005,1.149244,-0.139922,0.125309,0.917891,-0.128279,0.087012,0.510055,-0.179858,0.075494,0.088447,
8,-0.145697,0.418721,1.388620,-0.134494,0.454826,1.151988,-0.010568,0.401381,0.926432,-0.138701,0.287390,0.915343,-0.141329,0.329160,0.523356,-0.192661,0.324875,0.090966,-0.188309,-0.001514,1.422615,-0.186615,-0.163908,1.220027,-0.084119,-0.396710,1.171687,-0.140188,0.125649,0.917759,-0.128559,0.087127,0.509944,-0.179817,0.075511,0.088389,
9,-0.145310,0.419006,1.388593,-0.134019,0.455019,1.151951,-0.010016,0.401598,0.926464,-0.138589,0.287633,0.915375,-0.141358,0.329311,0.523378,-0.192705,0.324901,0.090979,-0.189719,-0.001008,1.425439,-0.186425,-0.170295,1.228595,-0.084955,-0.406202,1.194636,-0.140428,0.125949,0.917641,-0.128785,0.087217,0.509846,-0.179777,0.075532,0.088339,
10,-0.144948,0.419251,1.388590,-0.133576,0.455160,1.151936,-0.009491,0.401685,0.926529,-0.138483,0.287846,0.915406,-0.141361,0.329437,0.523402,-0.192736,0.324918,0.090992,-0.191088,-0.000455,1.428145,-0.186301,-0.176282,1.237151,-0.085701,-0.414277,1.217756,-0.140629,0.126204,0.917537,-0.128950,0.087283,0.509761,-0.179738,0.075551,0.088294,
11,-0.144618,0.419453,1.388610,-0.133172,0.455257,1.151943,-0.008985,0.401654,0.926629,-0.138379,0.288029,0.915438,-0.141338,0.329541,0.523425,-0.192761,0.324928,0.091006,-0.192406,0.000139,1.430732,-0.186241,-0.181861,1.245650,-0.086399,-0.420920,1.240982,-0.140773,0.126417,0.917445,-0.129052,0.087327,0.509686,-0.179701,0.075568,0.088254,
12,-0.144321,0.419609,1.388647,-0.132804,0.455315,1.151969,-0.008487,0.401528,0.926763,-0.138271,0.288189,0.915466,-0.141291,0.329627,0.523447,-0.192782,0.324935,0.091020,-0.193674,0.000766,1.433219,-0.186245,-0.187074,1.254116,-0.087088,-0.426184,1.264362,-0.140845,0.126595,0.917364,-0.129097,0.087357,0.509620,-0.179668,0.075581,0.088220,
13,-0.144055,0.419716,1.388694,-0.132463,0.455338,1.152007,-0.007986,0.401331,0.926924,-0.138159,0.288329,0.915492,-0.141228,0.329702,0.523466,-0.192800,0.324939,0.091032,-0.194896,0.001416,1.435630,-0.186321,-0.191977,1.262591,-0.087798,-0.430121,1.287948,-0.140836,0.126745,0.917293,-0.129093,0.087378,0.509561,-0.179640,0.075590,0.088192,
14,-0.143820,0.419774,1.388745,-0.132139,0.455324,1.152051,-0.007475,0.401090,0.927105,-0.138040,0.288451,0.915515,-0.141155,0.329770,0.523483,-0.192812,0.324943,0.091044,-0.196078,0.002083,1.437989,-0.186478,-0.196613,1.271121,-0.088545,-0.432755,1.311738,-0.140757,0.126874,0.917231,-0.129056,0.087396,0.509509,-0.179616,0.075596,0.088169,
15,-0.143612,0.419780,1.388791,-0.131823,0.455269,1.152094,-0.006949,0.400826,0.927295,-0.137916,0.288558,0.915535,-0.141083,0.329833,0.523499,-0.192817,0.324946,0.091055,-0.197225,0.002761,1.440309,-0.186724,-0.201010,1.279735,-0.089343,-0.434095,1.335675,-0.140629,0.126984,0.917178,-0.129003,0.087413,0.509463,-0.179595,0.075600,0.088150,
