  ,// User name
28-5-2013,// Evaluation date
01R,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
85.800,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
14,-0.503408,0.051415,1.480183,-0.519118,0.116232,1.214706,-0.490239,0.096670,0.956941,-0.615979,-0.018048,0.992675,-0.717338,0.043719,0.586653,-0.830179,0.077942,0.166965,-0.596677,-0.323999,1.453129,-0.646525,-0.335883,1.183477,-0.601368,-0.330303,0.940473,-2.814564,0.037602,1.027798,-2.784814,0.124068,0.623368,-0.791781,-0.122807,0.139622,
15,-0.503502,0.051499,1.480246,-0.519354,0.116454,1.214811,-0.490721,0.097016,0.956986,-0.616237,-0.018066,0.992672,-0.717455,0.043727,0.586618,-0.830182,0.077935,0.166967,-0.596532,-0.324035,1.453154,-0.646155,-0.335949,1.183461,-0.600436,-0.330197,0.940607,-2.810473,0.036975,1.027594,-2.780722,0.123435,0.623164,-0.791791,-0.122848,0.139621,
16,-0.503616,0.051586,1.480315,-0.519611,0.116703,1.214929,-0.491136,0.097429,0.957036,-0.616488,-0.018091,0.992677,-0.717554,0.043731,0.586590,-0.830182,0.077929,0.166970,-0.596363,-0.324084,1.453173,-0.645754,-0.336037,1.183440,-0.599579,-0.330099,0.940720,-2.806377,0.036345,1.027388,-2.776622,0.122803,0.622958,-0.791800,-0.122883,0.139619,
17,-0.503731,0.051669,1.480381,-0.519838,0.116949,1.215041,-0.491485,0.097895,0.957075,-0.616712,-0.018124,0.992698,-0.717614,0.043722,0.586574,-0.830181,0.077923,0.166972,-0.596176,-0.324142,1.453188,-0.645348,-0.336140,1.183417,-0.598806,-0.330014,0.940814,-2.802275,0.035711,1.027178,-2.772512,0.122173,0.622749,-0.791808,-0.122911,0.139616,
18,-0.503839,0.051742,1.480435,-0.520020,0.117172,1.215137,-0.491775,0.098391,0.957103,-0.616891,-0.018166,0.992743,-0.717611,0.043692,0.586575,-0.830180,0.077918,0.166973,-0.595979,-0.324203,1.453199,-0.644960,-0.336248,1.183396,-0.598125,-0.329948,0.940889,-2.798166,0.035075,1.026964,-2.768395,0.121547,0.622538,-0.791815,-0.122932,0.139611,
19,-0.503938,0.051798,1.480478,-0.520167,0.117368,1.215217,-0.492013,0.098896,0.957127,-0.617010,-0.018224,0.992809,-0.717540,0.043638,0.586595,-0.830179,0.077912,0.166974,-0.595774,-0.324267,1.453207,-0.644606,-0.336358,1.183378,-0.597541,-0.329904,0.940946,-2.794051,0.034437,1.026746,-2.764269,0.120926,0.622324,-0.791819,-0.122948,0.139605,
20,-0.504029,0.051837,1.480512,-0.520290,0.117538,1.215286,-0.492197,0.099398,0.957155,-0.617071,-0.018307,0.992890,-0.717412,0.043563,0.586630,-0.830181,0.077907,0.166973,-0.595564,-0.324332,1.453212,-0.644296,-0.336466,1.183367,-0.597055,-0.329884,0.940986,-2.789931,0.033798,1.026525,-2.760137,0.120308,0.622108,-0.791822,-0.122958,0.139598,
21,-0.504116,0.051859,1.480543,-0.520400,0.117689,1.215350,-0.492321,0.099909,0.957194,-0.617085,-0.018424,0.992966,-0.717259,0.043476,0.586670,-0.830184,0.077903,0.166973,-0.595353,-0.324401,1.453214,-0.644037,-0.336571,1.183362,-0.596668,-0.329889,0.941012,-2.785807,0.033158,1.026301,-2.756000,0.119694,0.621891,-0.791823,-0.122966,0.139590,
22,-0.504199,0.051868,1.480576,-0.520502,0.117826,1.215416,-0.492371,0.100458,0.957242,-0.617069,-0.018588,0.993018,-0.717119,0.043390,0.586704,-0.830189,0.077901,0.166972,-0.595144,-0.324475,1.453216,-0.643833,-0.336672,1.183366,-0.596376,-0.329923,0.941026,-2.781677,0.032519,1.026078,-2.751858,0.119081,0.621674,-0.791824,-0.122974,0.139583,
23,-0.504281,0.051863,1.480613,-0.520598,0.117951,1.215486,-0.492333,0.101079,0.957291,-0.617041,-0.018800,0.993031,-0.717024,0.043315,0.586721,-0.830195,0.077900,0.166970,-0.594944,-0.324557,1.453215,-0.643685,-0.336769,1.183375,-0.596174,-0.329989,0.941027,-2.777544,0.031879,1.025855,-2.747715,0.118468,0.621458,-0.791825,-0.122984,0.139577,
