  ,// User name
24-5-2013,// Evaluation date
05Uprocessed,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
39.517,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
15,-0.079147,0.427817,1.262785,-0.048137,0.430166,1.015770,0.013519,0.389779,0.781864,-0.010181,0.307270,0.847399,-0.054314,0.337278,0.483567,-0.103065,0.332004,0.053163,-0.062435,0.047506,1.260561,-0.001227,0.017991,1.021023,0.014492,0.026710,0.777680,-0.078037,0.141077,0.855903,-0.108872,0.114431,0.462421,-0.117908,0.120268,0.054443,
16,-0.079173,0.427760,1.262807,-0.048156,0.430129,1.015794,0.013506,0.389747,0.781897,-0.010204,0.307251,0.847405,-0.054328,0.337260,0.483572,-0.103061,0.331999,0.053163,-0.062406,0.047441,1.260554,-0.001171,0.017922,1.021023,0.014545,0.026711,0.777677,-0.078005,0.141032,0.855908,-0.108871,0.114418,0.462426,-0.117903,0.120267,0.054445,
17,-0.079199,0.427701,1.262831,-0.048173,0.430095,1.015818,0.013485,0.389721,0.781928,-0.010230,0.307232,0.847412,-0.054341,0.337241,0.483578,-0.103059,0.331994,0.053163,-0.062389,0.047378,1.260549,-0.001126,0.017863,1.021025,0.014600,0.026707,0.777679,-0.077975,0.140989,0.855911,-0.108870,0.114404,0.462430,-0.117897,0.120267,0.054446,
18,-0.079229,0.427643,1.262854,-0.048192,0.430066,1.015844,0.013457,0.389701,0.781961,-0.010255,0.307213,0.847421,-0.054352,0.337223,0.483584,-0.103057,0.331989,0.053164,-0.062386,0.047318,1.260548,-0.001096,0.017826,1.021027,0.014657,0.026695,0.777685,-0.077948,0.140946,0.855914,-0.108866,0.114386,0.462433,-0.117891,0.120267,0.054445,
19,-0.079264,0.427586,1.262879,-0.048215,0.430042,1.015870,0.013426,0.389683,0.781995,-0.010273,0.307195,0.847431,-0.054356,0.337204,0.483593,-0.103056,0.331985,0.053165,-0.062394,0.047262,1.260549,-0.001078,0.017810,1.021031,0.014714,0.026676,0.777695,-0.077925,0.140903,0.855917,-0.108857,0.114365,0.462435,-0.117889,0.120267,0.054442,
20,-0.079305,0.427530,1.262904,-0.048243,0.430022,1.015897,0.013393,0.389663,0.782032,-0.010282,0.307175,0.847441,-0.054354,0.337185,0.483602,-0.103055,0.331982,0.053168,-0.062409,0.047207,1.260554,-0.001066,0.017809,1.021036,0.014773,0.026648,0.777707,-0.077907,0.140859,0.855918,-0.108846,0.114342,0.462436,-0.117890,0.120265,0.054438,
21,-0.079351,0.427477,1.262931,-0.048277,0.430005,1.015926,0.013363,0.389639,0.782073,-0.010284,0.307154,0.847453,-0.054348,0.337164,0.483613,-0.103055,0.331979,0.053170,-0.062428,0.047153,1.260560,-0.001054,0.017810,1.021044,0.014832,0.026613,0.777722,-0.077895,0.140815,0.855920,-0.108834,0.114318,0.462436,-0.117894,0.120261,0.054434,
22,-0.079401,0.427427,1.262959,-0.048312,0.429990,1.015956,0.013336,0.389611,0.782117,-0.010284,0.307132,0.847465,-0.054341,0.337143,0.483624,-0.103055,0.331977,0.053172,-0.062447,0.047098,1.260569,-0.001037,0.017803,1.021055,0.014889,0.026574,0.777737,-0.077889,0.140770,0.855921,-0.108823,0.114294,0.462435,-0.117898,0.120256,0.054430,
23,-0.079451,0.427380,1.262988,-0.048346,0.429976,1.015988,0.013312,0.389582,0.782162,-0.010286,0.307108,0.847476,-0.054336,0.337121,0.483634,-0.103056,0.331975,0.053173,-0.062465,0.047041,1.260578,-0.001014,0.017784,1.021071,0.014944,0.026532,0.777753,-0.077887,0.140726,0.855921,-0.108814,0.114270,0.462434,-0.117903,0.120249,0.054428,
24,-0.079499,0.427337,1.263018,-0.048376,0.429962,1.016020,0.013292,0.389555,0.782206,-0.010296,0.307082,0.847485,-0.054336,0.337098,0.483643,-0.103056,0.331973,0.053173,-0.062481,0.046983,1.260588,-0.000983,0.017750,1.021090,0.014996,0.026489,0.777769,-0.077887,0.140684,0.855922,-0.108808,0.114246,0.462432,-0.117906,0.120244,0.054426,
