  ,// User name
21-5-2013,// Evaluation date
04Wprocessed.act,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
36.117,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.089318,0.504120,1.489064,-0.113881,0.520914,1.193985,-0.000553,0.524639,0.975486,-0.060216,0.367823,1.003284,-0.108298,0.371044,0.512067,-0.189372,0.352097,0.064483,-0.104191,0.083450,1.498714,-0.125477,0.054309,1.216864,-0.027525,0.046039,0.974490,-0.084464,0.192824,0.997411,-0.128593,0.180874,0.541463,-0.196557,0.196957,0.068219,
1,-0.089322,0.504118,1.489065,-0.113889,0.520915,1.193986,-0.000555,0.524635,0.975486,-0.060226,0.367825,1.003285,-0.108300,0.371046,0.512068,-0.189371,0.352098,0.064484,-0.104186,0.083450,1.498716,-0.125467,0.054312,1.216864,-0.027523,0.046034,0.974490,-0.084466,0.192820,0.997413,-0.128588,0.180881,0.541463,-0.196561,0.196958,0.068221,
2,-0.089330,0.504112,1.489067,-0.113903,0.520914,1.193989,-0.000554,0.524626,0.975486,-0.060245,0.367826,1.003287,-0.108303,0.371050,0.512069,-0.189371,0.352100,0.064487,-0.104175,0.083449,1.498720,-0.125446,0.054313,1.216868,-0.027512,0.046018,0.974493,-0.084469,0.192813,0.997416,-0.128578,0.180893,0.541465,-0.196567,0.196962,0.068223,
3,-0.089354,0.504094,1.489072,-0.113940,0.520909,1.193996,-0.000545,0.524600,0.975490,-0.060299,0.367829,1.003295,-0.108313,0.371060,0.512072,-0.189373,0.352107,0.064497,-0.104138,0.083443,1.498734,-0.125379,0.054311,1.216879,-0.027474,0.045965,0.974505,-0.084474,0.192790,0.997422,-0.128552,0.180928,0.541467,-0.196581,0.196972,0.068229,
4,-0.089392,0.504059,1.489084,-0.113998,0.520898,1.194011,-0.000518,0.524556,0.975499,-0.060390,0.367831,1.003308,-0.108331,0.371074,0.512077,-0.189376,0.352120,0.064513,-0.104072,0.083428,1.498762,-0.125258,0.054297,1.216903,-0.027398,0.045863,0.974532,-0.084476,0.192752,0.997431,-0.128508,0.180983,0.541469,-0.196600,0.196992,0.068239,
5,-0.089437,0.504011,1.489101,-0.114060,0.520878,1.194031,-0.000465,0.524505,0.975520,-0.060498,0.367829,1.003324,-0.108352,0.371089,0.512085,-0.189381,0.352135,0.064532,-0.103981,0.083398,1.498805,-0.125095,0.054260,1.216941,-0.027280,0.045717,0.974576,-0.084468,0.192705,0.997436,-0.128457,0.181042,0.541467,-0.196615,0.197017,0.068247,
6,-0.089475,0.503957,1.489125,-0.114107,0.520849,1.194057,-0.000380,0.524460,0.975552,-0.060596,0.367817,1.003339,-0.108373,0.371096,0.512093,-0.189388,0.352148,0.064547,-0.103878,0.083353,1.498858,-0.124911,0.054190,1.216991,-0.027130,0.045541,0.974637,-0.084441,0.192659,0.997431,-0.128413,0.181086,0.541458,-0.196615,0.197043,0.068250,
7,-0.089499,0.503902,1.489154,-0.114131,0.520816,1.194088,-0.000272,0.524427,0.975597,-0.060668,0.367794,1.003352,-0.108389,0.371095,0.512101,-0.189393,0.352157,0.064554,-0.103771,0.083292,1.498921,-0.124723,0.054089,1.217052,-0.026962,0.045351,0.974711,-0.084395,0.192622,0.997416,-0.128384,0.181106,0.541442,-0.196600,0.197066,0.068246,
8,-0.089507,0.503850,1.489188,-0.114134,0.520781,1.194122,-0.000155,0.524407,0.975651,-0.060708,0.367761,1.003359,-0.108404,0.371087,0.512106,-0.189397,0.352161,0.064552,-0.103665,0.083219,1.498991,-0.124537,0.053964,1.217122,-0.026794,0.045163,0.974793,-0.084339,0.192595,0.997392,-0.128373,0.181102,0.541422,-0.196573,0.197082,0.068236,
9,-0.089500,0.503804,1.489223,-0.114121,0.520748,1.194157,-0.000045,0.524393,0.975706,-0.060727,0.367722,1.003362,-0.108424,0.371075,0.512108,-0.189398,0.352161,0.064545,-0.103561,0.083142,1.499066,-0.124356,0.053830,1.217197,-0.026638,0.044986,0.974878,-0.084283,0.192575,0.997365,-0.128377,0.181081,0.541402,-0.196543,0.197092,0.068224,
10,-0.089480,0.503763,1.489257,-0.114096,0.520718,1.194191,0.000045,0.524379,0.975758,-0.060739,0.367682,1.003359,-0.108455,0.371064,0.512108,-0.189399,0.352159,0.064535,-0.103459,0.083065,1.499143,-0.124183,0.053698,1.217274,-0.026502,0.044828,0.974962,-0.084237,0.192559,0.997341,-0.128393,0.181053,0.541384,-0.196516,0.197097,0.068212,
11,-0.089452,0.503726,1.489286,-0.114062,0.520689,1.194221,0.000111,0.524363,0.975800,-0.060758,0.367644,1.003354,-0.108504,0.371056,0.512107,-0.189401,0.352158,0.064526,-0.103359,0.082993,1.499219,-0.124021,0.053576,1.217350,-0.026386,0.044689,0.975043,-0.084207,0.192542,0.997322,-0.128416,0.181024,0.541370,-0.196498,0.197099,0.068203,
12,-0.089417,0.503690,1.489309,-0.114019,0.520659,1.194243,0.000155,0.524344,0.975828,-0.060788,0.367610,1.003350,-0.108567,0.371048,0.512105,-0.189403,0.352159,0.064520,-0.103265,0.082929,1.499287,-0.123878,0.053470,1.217420,-0.026285,0.044570,0.975119,-0.084193,0.192523,0.997307,-0.128445,0.180998,0.541360,-0.196490,0.197100,0.068196,
13,-0.089377,0.503652,1.489322,-0.113973,0.520624,1.194256,0.000180,0.524323,0.975839,-0.060826,0.367579,1.003346,-0.108637,0.371038,0.512105,-0.189406,0.352160,0.064515,-0.103178,0.082873,1.499346,-0.123756,0.053380,1.217479,-0.026193,0.044467,0.975188,-0.084190,0.192500,0.997296,-0.128479,0.180974,0.541352,-0.196490,0.197100,0.068191,
14,-0.089333,0.503610,1.489326,-0.113930,0.520584,1.194260,0.000193,0.524300,0.975834,-0.060862,0.367549,1.003346,-0.108701,0.371021,0.512108,-0.189410,0.352162,0.064513,-0.103101,0.082823,1.499390,-0.123659,0.053304,1.217525,-0.026108,0.044377,0.975246,-0.084191,0.192474,0.997286,-0.128516,0.180952,0.541345,-0.196497,0.197100,0.068188,
