  ,// User name
24-5-2013,// Evaluation date
05Wprocessed.act,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
43.600,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.634604,0.406389,1.262828,-0.601351,0.419547,1.016445,-0.538157,0.399491,0.781024,-0.564663,0.291198,0.846029,-0.619519,0.310437,0.482928,-0.686832,0.292391,0.053998,-0.616307,0.022155,1.263672,-0.563389,-0.031418,1.026342,-0.544572,-0.009631,0.783066,-0.631155,0.126326,0.853683,-0.669404,0.120927,0.459986,-0.689893,0.156503,0.053891,
1,-0.634611,0.406389,1.262834,-0.601368,0.419552,1.016450,-0.538179,0.399506,0.781029,-0.564684,0.291197,0.846031,-0.619524,0.310433,0.482928,-0.686831,0.292390,0.053995,-0.616341,0.022156,1.263669,-0.563430,-0.031413,1.026336,-0.544611,-0.009630,0.783064,-0.631179,0.126325,0.853683,-0.669414,0.120928,0.459985,-0.689893,0.156508,0.053890,
2,-0.634641,0.406392,1.262855,-0.601422,0.419568,1.016468,-0.538246,0.399542,0.781046,-0.564750,0.291195,0.846039,-0.619540,0.310423,0.482927,-0.686830,0.292388,0.053991,-0.616435,0.022156,1.263660,-0.563551,-0.031402,1.026319,-0.544738,-0.009620,0.783054,-0.631246,0.126323,0.853684,-0.669445,0.120930,0.459982,-0.689893,0.156520,0.053891,
3,-0.634746,0.406403,1.262923,-0.601603,0.419624,1.016528,-0.538469,0.399652,0.781107,-0.564976,0.291190,0.846063,-0.619595,0.310395,0.482925,-0.686828,0.292383,0.053976,-0.616746,0.022157,1.263632,-0.563952,-0.031371,1.026264,-0.545167,-0.009584,0.783020,-0.631468,0.126318,0.853687,-0.669547,0.120936,0.459974,-0.689893,0.156559,0.053894,
4,-0.634957,0.406424,1.263056,-0.601955,0.419734,1.016647,-0.538893,0.399844,0.781232,-0.565415,0.291183,0.846109,-0.619705,0.310345,0.482918,-0.686829,0.292376,0.053950,-0.617338,0.022158,1.263578,-0.564721,-0.031317,1.026159,-0.546005,-0.009504,0.782952,-0.631892,0.126310,0.853695,-0.669745,0.120945,0.459960,-0.689896,0.156629,0.053900,
5,-0.635283,0.406455,1.263252,-0.602468,0.419898,1.016826,-0.539496,0.400077,0.781427,-0.566061,0.291177,0.846171,-0.619868,0.310280,0.482906,-0.686835,0.292368,0.053913,-0.618187,0.022156,1.263503,-0.565830,-0.031243,1.026010,-0.547239,-0.009365,0.782845,-0.632498,0.126298,0.853707,-0.670034,0.120954,0.459941,-0.689904,0.156719,0.053909,
6,-0.635714,0.406492,1.263496,-0.603099,0.420104,1.017052,-0.540207,0.400295,0.781687,-0.566860,0.291176,0.846241,-0.620074,0.310213,0.482885,-0.686851,0.292360,0.053867,-0.619213,0.022153,1.263416,-0.567177,-0.031152,1.025831,-0.548775,-0.009155,0.782703,-0.633225,0.126287,0.853722,-0.670391,0.120959,0.459921,-0.689917,0.156811,0.053917,
7,-0.636228,0.406532,1.263766,-0.603792,0.420334,1.017309,-0.540948,0.400452,0.781999,-0.567746,0.291183,0.846310,-0.620309,0.310153,0.482856,-0.686878,0.292353,0.053815,-0.620328,0.022147,1.263326,-0.568645,-0.031051,1.025639,-0.550496,-0.008867,0.782532,-0.634009,0.126278,0.853737,-0.670785,0.120955,0.459899,-0.689936,0.156888,0.053922,
8,-0.636801,0.406571,1.264043,-0.604500,0.420570,1.017580,-0.541658,0.400538,0.782346,-0.568660,0.291198,0.846373,-0.620563,0.310107,0.482821,-0.686916,0.292347,0.053757,-0.621460,0.022135,1.263240,-0.570138,-0.030955,1.025451,-0.552298,-0.008505,0.782337,-0.634802,0.126273,0.853750,-0.671195,0.120941,0.459877,-0.689962,0.156940,0.053918,
9,-0.637414,0.406604,1.264309,-0.605191,0.420796,1.017846,-0.542307,0.400578,0.782702,-0.569557,0.291222,0.846429,-0.620830,0.310077,0.482784,-0.686960,0.292342,0.053697,-0.622562,0.022111,1.263162,-0.571593,-0.030890,1.025278,-0.554108,-0.008080,0.782123,-0.635574,0.126275,0.853757,-0.671604,0.120920,0.459851,-0.689992,0.156965,0.053904,
