  ,// User name
24-5-2013,// Evaluation date
05Rprocessed,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
78.617,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
14,-0.337274,0.435779,1.262775,-0.303586,0.446445,1.016330,-0.229700,0.426995,0.784887,-0.290645,0.312367,0.867245,-0.307300,0.326961,0.500187,-0.359859,0.309619,0.052970,-0.323119,0.057303,1.267906,-0.276530,0.012067,1.027533,-0.256191,0.000793,0.788217,-0.334525,0.147089,0.869454,-0.350575,0.138481,0.474286,-0.375590,0.162154,0.055591,
15,-0.337214,0.435772,1.262711,-0.303562,0.446409,1.016261,-0.229732,0.426936,0.784805,-0.290643,0.312429,0.867241,-0.307316,0.327011,0.500184,-0.359862,0.309618,0.052973,-0.322998,0.057310,1.267904,-0.276422,0.012016,1.027539,-0.256194,0.000761,0.788196,-0.334460,0.147128,0.869451,-0.350560,0.138519,0.474285,-0.375562,0.162101,0.055567,
16,-0.337141,0.435778,1.262655,-0.303520,0.446405,1.016200,-0.229769,0.426949,0.784717,-0.290641,0.312488,0.867236,-0.307327,0.327052,0.500179,-0.359865,0.309618,0.052975,-0.322868,0.057323,1.267911,-0.276300,0.011960,1.027557,-0.256170,0.000741,0.788188,-0.334402,0.147162,0.869448,-0.350542,0.138554,0.474285,-0.375566,0.162107,0.055568,
17,-0.337054,0.435795,1.262608,-0.303468,0.446428,1.016148,-0.229807,0.427024,0.784628,-0.290634,0.312546,0.867231,-0.307328,0.327086,0.500173,-0.359866,0.309619,0.052977,-0.322729,0.057343,1.267924,-0.276171,0.011911,1.027581,-0.256122,0.000736,0.788192,-0.334350,0.147193,0.869447,-0.350518,0.138586,0.474285,-0.375599,0.162171,0.055595,
18,-0.336955,0.435823,1.262570,-0.303414,0.446471,1.016105,-0.229843,0.427152,0.784541,-0.290620,0.312600,0.867225,-0.307319,0.327114,0.500166,-0.359866,0.309620,0.052979,-0.322588,0.057375,1.267938,-0.276057,0.011900,1.027599,-0.256051,0.000746,0.788204,-0.334303,0.147219,0.869447,-0.350488,0.138614,0.474285,-0.375646,0.162265,0.055635,
19,-0.336846,0.435862,1.262543,-0.303361,0.446530,1.016071,-0.229876,0.427322,0.784460,-0.290600,0.312648,0.867218,-0.307298,0.327136,0.500158,-0.359865,0.309622,0.052981,-0.322460,0.057429,1.267950,-0.275979,0.011972,1.027598,-0.255960,0.000773,0.788220,-0.334260,0.147243,0.869449,-0.350452,0.138639,0.474288,-0.375687,0.162348,0.055672,
20,-0.336727,0.435910,1.262524,-0.303310,0.446603,1.016043,-0.229901,0.427522,0.784386,-0.290573,0.312690,0.867212,-0.307268,0.327152,0.500150,-0.359862,0.309625,0.052984,-0.322359,0.057508,1.267956,-0.275958,0.012160,1.027568,-0.255853,0.000821,0.788235,-0.334221,0.147264,0.869454,-0.350410,0.138662,0.474293,-0.375704,0.162385,0.055691,
21,-0.336602,0.435966,1.262508,-0.303255,0.446690,1.016020,-0.229913,0.427737,0.784323,-0.290541,0.312724,0.867204,-0.307230,0.327163,0.500142,-0.359860,0.309628,0.052986,-0.322294,0.057616,1.267957,-0.275999,0.012477,1.027509,-0.255733,0.000894,0.788248,-0.334186,0.147282,0.869462,-0.350365,0.138682,0.474300,-0.375692,0.162365,0.055689,
22,-0.336472,0.436029,1.262492,-0.303195,0.446790,1.015996,-0.229908,0.427951,0.784272,-0.290506,0.312751,0.867195,-0.307189,0.327169,0.500131,-0.359860,0.309631,0.052987,-0.322266,0.057750,1.267952,-0.276097,0.012912,1.027423,-0.255605,0.000996,0.788257,-0.334156,0.147299,0.869472,-0.350320,0.138700,0.474309,-0.375660,0.162307,0.055672,
23,-0.336342,0.436098,1.262471,-0.303124,0.446903,1.015969,-0.229880,0.428153,0.784232,-0.290469,0.312771,0.867183,-0.307149,0.327173,0.500118,-0.359861,0.309635,0.052987,-0.322273,0.057902,1.267941,-0.276242,0.013433,1.027318,-0.255471,0.001127,0.788262,-0.334132,0.147314,0.869483,-0.350277,0.138718,0.474320,-0.375627,0.162249,0.055655,
24,-0.336217,0.436169,1.262443,-0.303043,0.447024,1.015937,-0.229828,0.428333,0.784202,-0.290430,0.312785,0.867167,-0.307111,0.327175,0.500103,-0.359864,0.309638,0.052986,-0.322306,0.058063,1.267925,-0.276418,0.013997,1.027200,-0.255333,0.001285,0.788263,-0.334112,0.147328,0.869494,-0.350238,0.138735,0.474330,-0.375610,0.162226,0.055651,
25,-0.336098,0.436241,1.262407,-0.302950,0.447148,1.015900,-0.229755,0.428488,0.784177,-0.290387,0.312796,0.867149,-0.307075,0.327177,0.500084,-0.359868,0.309641,0.052982,-0.322352,0.058224,1.267903,-0.276600,0.014555,1.027079,-0.255194,0.001462,0.788261,-0.334097,0.147341,0.869504,-0.350205,0.138751,0.474338,-0.375621,0.162256,0.055669,
26,-0.335990,0.436312,1.262365,-0.302848,0.447269,1.015859,-0.229667,0.428622,0.784154,-0.290338,0.312803,0.867129,-0.307041,0.327179,0.500065,-0.359874,0.309643,0.052978,-0.322394,0.058374,1.267875,-0.276761,0.015054,1.026967,-0.255057,0.001650,0.788256,-0.334085,0.147352,0.869511,-0.350178,0.138764,0.474345,-0.375654,0.162327,0.055703,
27,-0.335892,0.436379,1.262320,-0.302740,0.447381,1.015818,-0.229575,0.428742,0.784126,-0.290281,0.312810,0.867109,-0.307004,0.327182,0.500045,-0.359880,0.309645,0.052972,-0.322412,0.058503,1.267846,-0.276865,0.015449,1.026873,-0.254923,0.001839,0.788250,-0.334075,0.147364,0.869517,-0.350153,0.138774,0.474350,-0.375694,0.162408,0.055740,
