  ,// User name
21-5-2013,// Evaluation date
04Uprocessed.act,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
44.633,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
0,-0.141950,0.488377,1.498090,-0.133912,0.506538,1.202180,-0.015019,0.492743,0.991975,-0.107146,0.361759,1.008597,-0.097785,0.363082,0.515113,-0.172905,0.351632,0.063491,-0.152376,0.072534,1.500979,-0.164316,0.054909,1.217626,-0.045881,0.071933,0.981315,-0.117379,0.185530,1.002957,-0.112917,0.176785,0.544828,-0.168766,0.197226,0.067724,
1,-0.141967,0.488377,1.498094,-0.133949,0.506539,1.202183,-0.015090,0.492739,0.991962,-0.107166,0.361762,1.008596,-0.097793,0.363085,0.515113,-0.172904,0.351634,0.063492,-0.152402,0.072536,1.500972,-0.164390,0.054926,1.217620,-0.045926,0.071970,0.981311,-0.117400,0.185529,1.002958,-0.112925,0.176790,0.544828,-0.168765,0.197225,0.067723,
2,-0.142022,0.488371,1.498099,-0.134063,0.506532,1.202187,-0.015278,0.492735,0.991925,-0.107220,0.361764,1.008595,-0.097813,0.363089,0.515112,-0.172903,0.351639,0.063494,-0.152465,0.072538,1.500944,-0.164547,0.054975,1.217594,-0.046030,0.072068,0.981295,-0.117455,0.185533,1.002955,-0.112948,0.176800,0.544825,-0.168760,0.197224,0.067720,
3,-0.142213,0.488344,1.498115,-0.134446,0.506500,1.202197,-0.015893,0.492726,0.991799,-0.107393,0.361768,1.008592,-0.097878,0.363100,0.515111,-0.172900,0.351651,0.063502,-0.152668,0.072542,1.500849,-0.165034,0.055137,1.217501,-0.046358,0.072390,0.981242,-0.117635,0.185550,1.002943,-0.113026,0.176833,0.544814,-0.168744,0.197223,0.067709,
4,-0.142586,0.488283,1.498139,-0.135185,0.506428,1.202211,-0.017049,0.492718,0.991557,-0.107714,0.361765,1.008585,-0.097998,0.363114,0.515108,-0.172896,0.351672,0.063516,-0.153049,0.072545,1.500659,-0.165905,0.055442,1.217314,-0.046956,0.072997,0.981135,-0.117972,0.185588,1.002915,-0.113179,0.176890,0.544788,-0.168712,0.197220,0.067690,
5,-0.143138,0.488178,1.498163,-0.136243,0.506299,1.202222,-0.018660,0.492729,0.991207,-0.108156,0.361741,1.008577,-0.098159,0.363121,0.515106,-0.172893,0.351696,0.063531,-0.153579,0.072541,1.500369,-0.167048,0.055864,1.217027,-0.047753,0.073846,0.980979,-0.118438,0.185658,1.002869,-0.113401,0.176960,0.544744,-0.168666,0.197216,0.067664,
6,-0.143829,0.488030,1.498177,-0.137503,0.506112,1.202221,-0.020521,0.492777,0.990783,-0.108659,0.361681,1.008569,-0.098333,0.363112,0.515104,-0.172892,0.351715,0.063544,-0.154205,0.072523,1.499995,-0.168280,0.056343,1.216654,-0.048621,0.074833,0.980788,-0.118974,0.185760,1.002801,-0.113670,0.177027,0.544680,-0.168610,0.197212,0.067633,
7,-0.144605,0.487844,1.498173,-0.138823,0.505874,1.202203,-0.022416,0.492880,0.990327,-0.109166,0.361579,1.008562,-0.098492,0.363080,0.515105,-0.172895,0.351726,0.063550,-0.154875,0.072487,1.499567,-0.169454,0.056812,1.216223,-0.049440,0.075839,0.980586,-0.119518,0.185884,1.002718,-0.113956,0.177079,0.544601,-0.168550,0.197205,0.067601,
8,-0.145415,0.487635,1.498149,-0.140080,0.505608,1.202167,-0.024172,0.493043,0.989875,-0.109642,0.361439,1.008557,-0.098613,0.363026,0.515108,-0.172900,0.351728,0.063546,-0.155559,0.072432,1.499118,-0.170487,0.057217,1.215767,-0.050127,0.076753,0.980398,-0.120022,0.186008,1.002626,-0.114228,0.177111,0.544515,-0.168491,0.197195,0.067568,
9,-0.146221,0.487414,1.498103,-0.141196,0.505341,1.202112,-0.025691,0.493267,0.989453,-0.110080,0.361279,1.008552,-0.098680,0.362950,0.515112,-0.172906,0.351722,0.063534,-0.156245,0.072357,1.498679,-0.171360,0.057530,1.215317,-0.050644,0.077485,0.980242,-0.120460,0.186104,1.002537,-0.114464,0.177124,0.544429,-0.168439,0.197181,0.067537,
10,-0.146996,0.487190,1.498031,-0.142141,0.505100,1.202037,-0.026934,0.493545,0.989078,-0.110487,0.361118,1.008548,-0.098689,0.362857,0.515117,-0.172910,0.351711,0.063516,-0.156930,0.072261,1.498275,-0.172091,0.057742,1.214900,-0.050987,0.077970,0.980125,-0.120823,0.186147,1.002458,-0.114653,0.177126,0.544354,-0.168398,0.197164,0.067507,
11,-0.147723,0.486970,1.497933,-0.142914,0.504905,1.201940,-0.027901,0.493866,0.988752,-0.110877,0.360976,1.008542,-0.098645,0.362748,0.515122,-0.172911,0.351693,0.063493,-0.157612,0.072143,1.497922,-0.172709,0.057856,1.214532,-0.051179,0.078163,0.980044,-0.121113,0.186118,1.002397,-0.114795,0.177124,0.544294,-0.168371,0.197144,0.067481,
