  ,// User name
24-5-2013,// Evaluation date
06Rprocessed_troubleshooting.act,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
78.750,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
15,0.149678,0.463750,1.380881,0.160098,0.500646,1.144335,0.296486,0.474321,0.922438,0.157232,0.328991,0.914853,0.149736,0.402024,0.527534,0.111478,0.436278,0.090398,0.082885,0.068270,1.463318,0.077857,-0.185525,1.408731,0.211763,-0.053531,1.598716,0.159365,0.169302,0.919490,0.157224,0.110907,0.513882,0.103917,0.081904,0.087750,
16,0.149661,0.463840,1.380896,0.159897,0.500726,1.144341,0.296349,0.474413,0.922436,0.157411,0.329124,0.914871,0.149780,0.402109,0.527546,0.111496,0.436280,0.090397,0.083027,0.068288,1.463372,0.077417,-0.185409,1.408387,0.212185,-0.060761,1.603928,0.159422,0.169530,0.919423,0.157230,0.111026,0.513830,0.103945,0.081912,0.087739,
17,0.149652,0.463916,1.380920,0.159721,0.500812,1.144358,0.296165,0.474524,0.922409,0.157583,0.329258,0.914891,0.149820,0.402192,0.527559,0.111519,0.436282,0.090395,0.083191,0.068280,1.463426,0.077165,-0.185340,1.408131,0.212517,-0.068362,1.609056,0.159532,0.169747,0.919359,0.157266,0.111147,0.513781,0.103978,0.081919,0.087729,
18,0.149658,0.463981,1.380948,0.159592,0.500895,1.144383,0.295947,0.474664,0.922352,0.157733,0.329395,0.914913,0.149852,0.402275,0.527573,0.111547,0.436284,0.090393,0.083383,0.068251,1.463481,0.077115,-0.185314,1.407960,0.212734,-0.076253,1.614036,0.159678,0.169951,0.919300,0.157321,0.111270,0.513734,0.104013,0.081927,0.087721,
19,0.149679,0.464032,1.380977,0.159516,0.500970,1.144412,0.295706,0.474839,0.922268,0.157854,0.329537,0.914937,0.149875,0.402357,0.527589,0.111575,0.436286,0.090393,0.083605,0.068203,1.463542,0.077273,-0.185329,1.407875,0.212809,-0.084355,1.618827,0.159841,0.170141,0.919243,0.157382,0.111393,0.513688,0.104047,0.081938,0.087713,
20,0.149712,0.464068,1.381004,0.159484,0.501030,1.144440,0.295456,0.475047,0.922163,0.157947,0.329682,0.914964,0.149894,0.402439,0.527605,0.111600,0.436286,0.090395,0.083861,0.068137,1.463619,0.077639,-0.185382,1.407884,0.212720,-0.092598,1.623402,0.160005,0.170320,0.919189,0.157439,0.111513,0.513643,0.104082,0.081951,0.087706,
21,0.149750,0.464087,1.381027,0.159481,0.501074,1.144465,0.295210,0.475279,0.922048,0.158022,0.329828,0.914993,0.149913,0.402518,0.527622,0.111622,0.436283,0.090398,0.084152,0.068057,1.463720,0.078202,-0.185471,1.407995,0.212459,-0.100924,1.627747,0.160169,0.170488,0.919137,0.157488,0.111626,0.513599,0.104119,0.081967,0.087698,
22,0.149791,0.464088,1.381044,0.159495,0.501103,1.144486,0.294977,0.475524,0.921933,0.158090,0.329970,0.915022,0.149942,0.402592,0.527639,0.111639,0.436278,0.090403,0.084478,0.067967,1.463853,0.078949,-0.185590,1.408216,0.212032,-0.109292,1.631855,0.160337,0.170647,0.919084,0.157532,0.111728,0.513556,0.104159,0.081984,0.087688,
23,0.149833,0.464075,1.381056,0.159519,0.501122,1.144502,0.294766,0.475768,0.921826,0.158164,0.330103,0.915051,0.149988,0.402661,0.527657,0.111652,0.436272,0.090411,0.084834,0.067872,1.464021,0.079859,-0.185733,1.408551,0.211455,-0.117682,1.635721,0.160517,0.170797,0.919031,0.157580,0.111816,0.513513,0.104203,0.082002,0.087676,
24,0.149880,0.464053,1.381063,0.159552,0.501135,1.144514,0.294583,0.476001,0.921731,0.158253,0.330221,0.915078,0.150056,0.402722,0.527674,0.111663,0.436265,0.090420,0.085217,0.067780,1.464226,0.080910,-0.185890,1.408998,0.210760,-0.126095,1.639343,0.160711,0.170933,0.918978,0.157635,0.111889,0.513470,0.104246,0.082021,0.087661,
25,0.149939,0.464031,1.381065,0.159597,0.501149,1.144521,0.294434,0.476214,0.921650,0.158360,0.330319,0.915102,0.150148,0.402772,0.527689,0.111671,0.436258,0.090431,0.085625,0.067694,1.464469,0.082082,-0.186054,1.409550,0.209981,-0.134546,1.642714,0.160910,0.171051,0.918925,0.157701,0.111945,0.513427,0.104286,0.082039,0.087645,
26,0.150013,0.464016,1.381061,0.159656,0.501166,1.144522,0.294324,0.476402,0.921580,0.158482,0.330395,0.915122,0.150263,0.402810,0.527702,0.111679,0.436252,0.090443,0.086054,0.067619,1.464748,0.083355,-0.186219,1.410195,0.209156,-0.143059,1.645825,0.161098,0.171147,0.918876,0.157775,0.111984,0.513387,0.104319,0.082055,0.087629,
27,0.150106,0.464012,1.381050,0.159729,0.501188,1.144514,0.294258,0.476559,0.921515,0.158614,0.330445,0.915136,0.150395,0.402834,0.527711,0.111685,0.436246,0.090455,0.086505,0.067555,1.465063,0.084711,-0.186379,1.410919,0.208314,-0.151658,1.648660,0.161253,0.171215,0.918834,0.157850,0.112007,0.513352,0.104343,0.082068,0.087617,
28,0.150214,0.464022,1.381030,0.159811,0.501212,1.144495,0.294236,0.476682,0.921452,0.158747,0.330470,0.915144,0.150535,0.402843,0.527716,0.111691,0.436239,0.090465,0.086979,0.067500,1.465409,0.086133,-0.186532,1.411703,0.207472,-0.160358,1.651201,0.161359,0.171252,0.918801,0.157919,0.112015,0.513324,0.104357,0.082078,0.087609,
