  ,// User name
24-5-2013,// Evaluation date
06Lprocessed,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
66.133,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q0 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q1 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q2 / Time,Thorax / Sensor #0 / T12/L1 / World Ref. Frame / Quaternion / Q3 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q0 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q1 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q2 / Time,Lumbar / Sensor #0 / L5/S1 / World Ref. Frame / Quaternion / Q3 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Upper Arm / Sensor #0 / Left Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Forearm / Sensor #0 / Left Elbow / Left Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Thigh / Sensor #0 / Left Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Shank / Sensor #0 / Left Knee / Left Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Left Foot / Sensor #0 / Left Ankle / Left Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Upper Arm / Sensor #0 / Right Shoulder / Thorax - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Forearm / Sensor #0 / Right Elbow / Right Upper Arm - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Thigh / Sensor #0 / Right Hip / Sacrum - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Shank / Sensor #0 / Right Knee / Right Thigh - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q0 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q1 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q2 / Time,Right Foot / Sensor #0 / Right Ankle / Right Shank - #0 - Center of Mass Ref. Frame / Quaternion / Q3 / Time,
0,0.998283,-0.011311,0.046336,-0.033994,0.999789,-0.007718,0.017302,-0.007995,0.989454,0.095702,-0.054047,-0.094348,0.958418,-0.129366,-0.247119,0.060263,0.998028,0.054060,0.017717,-0.026513,0.994691,-0.057530,0.062307,0.058289,0.994879,0.011348,0.082253,-0.057633,0.935852,-0.226571,-0.107726,-0.247472,0.921878,-0.021149,-0.321579,-0.215131,0.998997,-0.044671,-0.001982,-0.002289,0.996544,0.031687,0.076230,0.009269,0.997243,0.008138,0.064146,0.036395,
1,0.998281,-0.011358,0.046315,-0.034060,0.999788,-0.007712,0.017314,-0.008001,0.989458,0.095752,-0.054018,-0.094273,0.958419,-0.129351,-0.247128,0.060239,0.998029,0.054049,0.017711,-0.026502,0.994693,-0.057529,0.062299,0.058267,0.994880,0.011356,0.082252,-0.057614,0.935665,-0.226866,-0.108005,-0.247785,0.921866,-0.021254,-0.321701,-0.214986,0.998997,-0.044684,-0.001993,-0.002249,0.996545,0.031686,0.076223,0.009216,0.997243,0.008126,0.064141,0.036410,
2,0.998276,-0.011504,0.046236,-0.034264,0.999788,-0.007700,0.017336,-0.008019,0.989473,0.095892,-0.053921,-0.094021,0.958424,-0.129329,-0.247133,0.060189,0.998032,0.054022,0.017707,-0.026471,0.994699,-0.057532,0.062272,0.058191,0.994884,0.011359,0.082250,-0.057546,0.935113,-0.227731,-0.108878,-0.248692,0.921791,-0.021488,-0.322126,-0.214650,0.998995,-0.044720,-0.002010,-0.002134,0.996548,0.031691,0.076196,0.009075,0.997243,0.008094,0.064132,0.036443,
3,0.998259,-0.011990,0.045963,-0.034954,0.999786,-0.007659,0.017410,-0.008080,0.989528,0.096354,-0.053592,-0.093159,0.958441,-0.129268,-0.247140,0.060026,0.998039,0.053937,0.017698,-0.026372,0.994719,-0.057545,0.062179,0.057940,0.994898,0.011359,0.082243,-0.057319,0.933249,-0.230607,-0.111834,-0.251715,0.921505,-0.022183,-0.323591,-0.213600,0.998991,-0.044838,-0.002063,-0.001763,0.996558,0.031714,0.076100,0.008618,0.997242,0.007993,0.064107,0.036548,
4,0.998225,-0.012925,0.045424,-0.036292,0.999784,-0.007580,0.017557,-0.008198,0.989635,0.097229,-0.052953,-0.091465,0.958475,-0.129166,-0.247138,0.059709,0.998053,0.053777,0.017678,-0.026195,0.994755,-0.057572,0.061999,0.057483,0.994923,0.011344,0.082230,-0.056900,0.929577,-0.236100,-0.117604,-0.257512,0.920875,-0.023291,-0.326516,-0.211740,0.998981,-0.045065,-0.002168,-0.001068,0.996578,0.031767,0.075913,0.007770,0.997239,0.007805,0.064064,0.036739,
5,0.998170,-0.014269,0.044622,-0.038247,0.999779,-0.007466,0.017794,-0.008367,0.989791,0.098459,-0.052022,-0.088959,0.958528,-0.129045,-0.247109,0.059236,0.998071,0.053554,0.017629,-0.025972,0.994802,-0.057617,0.061743,0.056894,0.994957,0.011301,0.082215,-0.056337,0.924077,-0.243942,-0.126115,-0.265838,0.919799,-0.024391,-0.330968,-0.209366,0.998966,-0.045393,-0.002341,-0.000106,0.996604,0.031856,0.075645,0.006603,0.997234,0.007548,0.064018,0.036995,
6,0.998094,-0.015889,0.043619,-0.040658,0.999772,-0.007322,0.018135,-0.008573,0.989981,0.099901,-0.050882,-0.085841,0.958597,-0.128930,-0.247045,0.058631,0.998093,0.053290,0.017517,-0.025761,0.994850,-0.057678,0.061443,0.056310,0.994993,0.011231,0.082200,-0.055728,0.917059,-0.253339,-0.136764,-0.275894,0.918236,-0.024933,-0.336766,-0.206904,0.998947,-0.045792,-0.002606,0.001011,0.996631,0.031984,0.075334,0.005258,0.997228,0.007261,0.063983,0.037288,
7,0.998001,-0.017624,0.042498,-0.043330,0.999763,-0.007160,0.018584,-0.008796,0.990186,0.101393,-0.049630,-0.082391,0.958674,-0.128838,-0.246957,0.057941,0.998115,0.053008,0.017309,-0.025616,0.994890,-0.057748,0.061140,0.055857,0.995027,0.011148,0.082187,-0.055165,0.908976,-0.263421,-0.148791,-0.286763,0.916217,-0.024545,-0.343649,-0.204571,0.998924,-0.046225,-0.002985,0.002179,0.996655,0.032143,0.075035,0.003852,0.997218,0.006985,0.063974,0.037606,
8,0.997894,-0.019341,0.041333,-0.046090,0.999752,-0.006994,0.019120,-0.009019,0.990387,0.102813,-0.048347,-0.078901,0.958747,-0.128778,-0.246865,0.057254,0.998137,0.052728,0.017002,-0.025570,0.994918,-0.057819,0.060873,0.055592,0.995055,0.011075,0.082172,-0.054692,0.900262,-0.273511,-0.161525,-0.297706,0.913827,-0.023213,-0.351424,-0.202197,0.998899,-0.046657,-0.003475,0.003344,0.996672,0.032325,0.074800,0.002436,0.997205,0.006755,0.063992,0.037958,
9,0.997779,-0.020954,0.040177,-0.048818,0.999740,-0.006840,0.019687,-0.009229,0.990570,0.104097,-0.047074,-0.075619,0.958801,-0.128757,-0.246795,0.056690,0.998155,0.052470,0.016634,-0.025621,0.994933,-0.057882,0.060663,0.055487,0.995079,0.011030,0.082149,-0.054295,0.891240,-0.283222,-0.174501,-0.308264,0.911151,-0.021233,-0.360042,-0.199304,0.998874,-0.047058,-0.004027,0.004487,0.996678,0.032517,0.074660,0.001017,0.997189,0.006587,0.064027,0.038354,
10,0.997660,-0.022428,0.039061,-0.051444,0.999729,-0.006714,0.020206,-0.009417,0.990725,0.105238,-0.045825,-0.072725,0.958823,-0.128776,-0.246770,0.056383,0.998170,0.052245,0.016275,-0.025740,0.994940,-0.057934,0.060518,0.055463,0.995102,0.011022,0.082112,-0.053935,0.882090,-0.292408,-0.187464,-0.318232,0.908230,-0.019005,-0.369567,-0.195390,0.998850,-0.047408,-0.004558,0.005590,0.996675,0.032711,0.074619,-0.000386,0.997171,0.006484,0.064058,0.038791,
