  ,// User name
21-5-2013,// Evaluation date
04Lprocessed.act,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
48.367,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
12,-0.127914,0.564505,1.482050,-0.138315,0.587470,1.186548,-0.048082,0.574667,0.966769,-0.122544,0.428715,1.005159,-0.163140,0.453615,0.513887,-0.246938,0.456399,0.064883,-0.141899,0.141772,1.481610,-0.162755,0.115364,1.199458,-0.069382,0.146194,0.963006,-0.145191,0.253371,0.996764,-0.198928,0.225103,0.542570,-0.255423,0.223665,0.067341,
13,-0.127359,0.565161,1.481839,-0.138033,0.587980,1.186335,-0.047562,0.575117,0.966753,-0.122495,0.428933,1.005137,-0.162796,0.453666,0.513833,-0.246896,0.456429,0.064871,-0.141008,0.142282,1.481811,-0.162837,0.115489,1.199769,-0.070245,0.145684,0.962902,-0.145113,0.253557,0.996723,-0.199079,0.225179,0.542562,-0.255440,0.223653,0.067345,
14,-0.126854,0.565760,1.481663,-0.137715,0.588419,1.186154,-0.047007,0.575488,0.966748,-0.122442,0.429089,1.005112,-0.162592,0.453727,0.513791,-0.246871,0.456459,0.064865,-0.140196,0.142772,1.482066,-0.162864,0.115616,1.200125,-0.071084,0.145243,0.962835,-0.145042,0.253690,0.996680,-0.199233,0.225231,0.542551,-0.255461,0.223639,0.067346,
15,-0.126416,0.566290,1.481520,-0.137355,0.588773,1.186001,-0.046414,0.575772,0.966739,-0.122358,0.429195,1.005089,-0.162534,0.453799,0.513768,-0.246859,0.456489,0.064866,-0.139500,0.143234,1.482360,-0.162832,0.115744,1.200505,-0.071881,0.144886,0.962793,-0.144962,0.253783,0.996632,-0.199376,0.225264,0.542534,-0.255484,0.223621,0.067344,
16,-0.126053,0.566743,1.481400,-0.136950,0.589033,1.185864,-0.045778,0.575966,0.966710,-0.122224,0.429266,1.005073,-0.162612,0.453878,0.513769,-0.246856,0.456516,0.064871,-0.138948,0.143657,1.482666,-0.162747,0.115870,1.200880,-0.072601,0.144599,0.962767,-0.144861,0.253846,0.996579,-0.199499,0.225279,0.542511,-0.255508,0.223602,0.067337,
17,-0.125763,0.567117,1.481287,-0.136496,0.589198,1.185730,-0.045097,0.576076,0.966649,-0.122031,0.429313,1.005063,-0.162796,0.453956,0.513793,-0.246858,0.456535,0.064878,-0.138558,0.144027,1.482960,-0.162621,0.115985,1.201221,-0.073201,0.144355,0.962748,-0.144727,0.253891,0.996518,-0.199592,0.225277,0.542480,-0.255532,0.223579,0.067325,
18,-0.125535,0.567414,1.481167,-0.135989,0.589273,1.185583,-0.044367,0.576112,0.966552,-0.121782,0.429344,1.005060,-0.163045,0.454017,0.513832,-0.246859,0.456537,0.064886,-0.138332,0.144336,1.483220,-0.162472,0.116080,1.201509,-0.073651,0.144129,0.962738,-0.144549,0.253926,0.996451,-0.199648,0.225260,0.542444,-0.255554,0.223554,0.067310,
19,-0.125347,0.567639,1.481028,-0.135433,0.589266,1.185415,-0.043592,0.576091,0.966422,-0.121488,0.429363,1.005058,-0.163304,0.454049,0.513878,-0.246855,0.456513,0.064892,-0.138261,0.144578,1.483433,-0.162319,0.116144,1.201733,-0.073933,0.143908,0.962739,-0.144321,0.253958,0.996380,-0.199660,0.225230,0.542407,-0.255575,0.223527,0.067293,
20,-0.125182,0.567797,1.480871,-0.134840,0.589186,1.185225,-0.042773,0.576032,0.966270,-0.121163,0.429373,1.005054,-0.163524,0.454042,0.513919,-0.246845,0.456456,0.064896,-0.138330,0.144753,1.483596,-0.162184,0.116171,1.201894,-0.074053,0.143697,0.962762,-0.144044,0.253988,0.996310,-0.199628,0.225189,0.542371,-0.255592,0.223498,0.067277,
21,-0.125029,0.567892,1.480702,-0.134229,0.589041,1.185025,-0.041913,0.575951,0.966115,-0.120823,0.429373,1.005043,-0.163663,0.453992,0.513948,-0.246829,0.456367,0.064899,-0.138520,0.144867,1.483714,-0.162086,0.116153,1.202001,-0.074024,0.143511,0.962821,-0.143729,0.254014,0.996245,-0.199556,0.225145,0.542341,-0.255605,0.223470,0.067265,
