  ,// User name
21-5-2013,// Evaluation date
04Rprocessed.act,0-0-0,00:00:00:000,// Source file name and timestamp
60.000,// Measurement rate
90.133,// Data capture period
BUTTERWORTH FILTER,// Smoothing function
INTERPOLATE BAD DATA,// Data repair function
Frame #,LshX,LshY,LshZ,LebX,LebY,LebZ,LwX,LwY,LwZ,LhipX,LhipY,LhipZ,LkneeX,LkneeY,LkneeZ,LankX,LankY,LankZ,RshX,RshY,RshZ,RebX,RebY,RebZ,RwX,RwY,RwZ,RhipX,RhipY,RhipZ,RkneeX,RkneeY,RkneeZ,RankX,RankY,RankZ,
14,-0.066995,0.529943,1.489672,-0.060360,0.545865,1.193599,0.045270,0.520355,0.981544,-0.045182,0.400016,1.011223,-0.085087,0.412991,0.519436,-0.161191,0.399251,0.064678,-0.098679,0.105843,1.495389,-0.137044,0.082792,1.214784,0.013862,-0.138260,1.150639,-0.049381,0.229181,0.999951,-0.105515,0.206282,0.545744,-0.164318,0.219444,0.067042,
15,-0.066832,0.530042,1.489587,-0.060102,0.546023,1.193519,0.045472,0.520765,0.981367,-0.045056,0.399917,1.011205,-0.084909,0.412906,0.519413,-0.161193,0.399238,0.064673,-0.098958,0.105324,1.496191,-0.135568,0.080769,1.215480,0.013826,-0.143495,1.165325,-0.049372,0.229084,0.999960,-0.105493,0.206240,0.545749,-0.164304,0.219447,0.067043,
16,-0.066666,0.530135,1.489489,-0.059867,0.546167,1.193425,0.045633,0.521173,0.981158,-0.044902,0.399784,1.011183,-0.084750,0.412809,0.519392,-0.161194,0.399224,0.064669,-0.099266,0.104934,1.496966,-0.134294,0.079012,1.216176,0.013790,-0.147642,1.179753,-0.049373,0.228954,0.999973,-0.105466,0.206179,0.545754,-0.164290,0.219447,0.067046,
17,-0.066504,0.530215,1.489385,-0.059662,0.546289,1.193324,0.045748,0.521557,0.980925,-0.044734,0.399618,1.011156,-0.084626,0.412704,0.519370,-0.161194,0.399211,0.064667,-0.099582,0.104669,1.497695,-0.133175,0.077567,1.216841,0.013744,-0.150755,1.193825,-0.049385,0.228795,0.999987,-0.105438,0.206100,0.545760,-0.164277,0.219444,0.067050,
18,-0.066351,0.530276,1.489281,-0.059494,0.546383,1.193223,0.045813,0.521901,0.980675,-0.044571,0.399422,1.011119,-0.084548,0.412596,0.519343,-0.161194,0.399198,0.064664,-0.099882,0.104508,1.498366,-0.132135,0.076440,1.217449,0.013691,-0.152890,1.207451,-0.049408,0.228613,1.000004,-0.105414,0.206006,0.545767,-0.164263,0.219440,0.067056,
19,-0.066210,0.530318,1.489182,-0.059359,0.546446,1.193125,0.045828,0.522202,0.980416,-0.044427,0.399201,1.011074,-0.084514,0.412485,0.519309,-0.161194,0.399186,0.064661,-0.100154,0.104424,1.498970,-0.131107,0.075605,1.217983,0.013651,-0.154109,1.220558,-0.049446,0.228411,1.000023,-0.105399,0.205900,0.545774,-0.164249,0.219435,0.067062,
20,-0.066082,0.530339,1.489094,-0.059249,0.546474,1.193037,0.045796,0.522454,0.980155,-0.044306,0.398962,1.011023,-0.084513,0.412371,0.519271,-0.161193,0.399173,0.064657,-0.100390,0.104390,1.499504,-0.130050,0.075011,1.218436,0.013649,-0.154482,1.233089,-0.049498,0.228193,1.000043,-0.105396,0.205783,0.545782,-0.164233,0.219431,0.067068,
21,-0.065965,0.530338,1.489021,-0.059152,0.546465,1.192963,0.045722,0.522656,0.979899,-0.044201,0.398708,1.010969,-0.084525,0.412248,0.519231,-0.161192,0.399158,0.064651,-0.100587,0.104379,1.499969,-0.128955,0.074595,1.218810,0.013711,-0.154086,1.245011,-0.049564,0.227959,1.000064,-0.105408,0.205659,0.545792,-0.164216,0.219425,0.067074,
22,-0.065856,0.530313,1.488967,-0.059060,0.546418,1.192907,0.045615,0.522804,0.979658,-0.044097,0.398447,1.010917,-0.084532,0.412115,0.519191,-0.161189,0.399143,0.064645,-0.100744,0.104370,1.500369,-0.127839,0.074289,1.219116,0.013855,-0.153008,1.256301,-0.049642,0.227715,1.000086,-0.105436,0.205528,0.545802,-0.164201,0.219417,0.067079,
23,-0.065752,0.530265,1.488931,-0.058970,0.546337,1.192869,0.045484,0.522893,0.979438,-0.043979,0.398185,1.010871,-0.084518,0.411971,0.519157,-0.161183,0.399127,0.064638,-0.100863,0.104341,1.500709,-0.126739,0.074030,1.219366,0.014087,-0.151334,1.266951,-0.049727,0.227465,1.000107,-0.105477,0.205396,0.545812,-0.164187,0.219407,0.067083,
